trait,access,author,category,consortium,id,mr,ncase,ncontrol,note,nsnp,pmid,population,priority,sample_size,sd,unit,sex,subcategory,year,EFO,EFO_id,match
2-choice reaction time,public,Luciano,Risk factor,NA,1064,1,NA,NA,Metric of information processing speed,2415500,21130836,European,1,2602,81.45,SD (milliseconds),Males and females,Psychiatric / neurological,2012,mental process,EFO:0004323,low
2hr glucose,public,Saxena R,Risk factor,MAGIC,756,1,NA,NA,Adjusted for BMI,2401709,20081857,European,2,15234,1.268007699,mmol/L,Males and females,Glycemic,2015,fasting blood glucose measurement,EFO:0004465,high
Advanced age related macular degeneration,public,Fritsche LG,Disease,AMDGene,3,0,7650,51844,Only P-values available,2422876,23455636,Mixed,1,59494,NA,log odds,Males and females,Eye,2013,,,
Geographic atrophy age related macular degeneration,public,Fritsche LG,Disease,AMDGene,4,0,2016,51844,Only P-values available,2426859,23455636,Mixed,2,53860,NA,log odds,Males and females,Eye,2013,,,
Neovascular age related macular degeneration,public,Fritsche LG,Disease,AMDGene,5,0,4529,51844,Only P-values available,2409235,23455636,Mixed,3,56373,NA,log odds,Males and females,Eye,2013,,,
2hr glucose,public,Scott,Risk factor,MAGIC,776,1,NA,NA,NA,63984,22885924,European,1,42854,1.268007699,mmol/L,Males and females,Glycemic,2011,,,
4-choice reaction time,public,Luciano,Risk factor,NA,1068,1,NA,NA,Metric of information processing speed,2402691,21130836,European,1,2829,105.07,SD (milliseconds),Males and females,Psychiatric / neurological,2015,mental process,EFO:0004323,low
8-choice reaction time,public,Luciano,Risk factor,NA,1063,1,NA,NA,Metric of information processing speed,2383239,21130836,European,1,1382,100.47,SD (milliseconds),Males and females,Psychiatric / neurological,2011,mental process,EFO:0004323,low
Adiponectin,public,Dastani Z,Risk factor,ADIPOGen,1,1,NA,NA,NA,2675209,22479202,Mixed,1,39883,0.57,ln(mg/dL),Males and females,Protein,2013,adiponectin measurement,EFO:0004502,high
Age at menarche,public,Perry JR,Risk factor,ReproGen,1095,1,NA,NA,NA,2441816,25231870,European,1,182416,NA,years,Females,Reproductive aging,2012,age at menarche,EFO:0004703,high
Age at menopause,public,Day,Risk factor,ReproGen,1004,1,NA,NA,NA,2418696,26414677,European,1,69360,3.93,years,Females,Reproductive aging,2015,age at menopause,EFO:0004704,high
Age of smoking initiation,public,Furberg,Risk factor,TAG,964,1,NA,NA,NA,2457546,20418890,European,1,47961,0.34,log years,Males and females,Behavioural,2015,smoking behaviour,EFO:0004318,low
Alcohol dependence,public,Olfson,Risk factor,NA,813,1,1897,1932,Effect allele frequencies are missing,917030,22978509,Mixed,1,3829,NA,log odds,Males and females,Behavioural,2015,alcohol dependence,EFO:0003829,high
Alcohol dependence,public,NA,Risk factor,NA,817,1,NA,NA,Effect allele frequencies are missing,828294,NA,Mixed,2,NA,NA,log odds,Males and females,Behavioural,2015,,,
Crohn's disease,public,Franke A,Disease,IIBDGC,15,0,6333,15056,Only P-values available,941665,21102463,European,2,21389,NA,log odds,Males and females,Autoimmune / inflammatory,2010,,,
Alzheimer's disease,public,Lambert,Disease,IGAP,297,1,17008,37154,Effect allele frequencies are missing; forward(+) strand,7055882,24162737,European,2,54162,NA,log odds,Males and females,Psychiatric / neurological,2014,Alzheimers disease,EFO:0000249,high
Chronic kidney disease,public,Kottgen A,Disease,CKDGen,17,0,5807,56430,Only P-values available,2744602,20383146,European,2,62237,NA,log odds,Males and females,Kidney,2010,,,
Serum creatinine (eGFRcrea),public,Kottgen A,Risk factor,CKDGen,18,0,NA,NA,Only P-values available,2775225,20383146,European,4,67093,0.24,log ml/min/1.73 m^¶ý,Males and females,Kidney,2010,,,
Serum cystatin c (eGFRcys),public,Kottgen A,Risk factor,CKDGen,19,0,NA,NA,Only P-values available,2775225,20383146,European,2,20957,0.23,log ml/min/1.73 m^¶ý,Males and females,Kidney,2010,,,
Microalbuminuria,public,Boger CA,Risk factor,CKDGen,20,0,3696,26786,Only P-values available,2765150,21355061,European,2,30482,NA,log odds,Males and females,Kidney,2011,,,
